15,Milk and Honey,85,TRUE,144947425X.01._SCLZZZZZZZ_SX500_.jpg,Rupi Kaur,Poetry,"The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. milk and honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look."
16,Home Body,95,FALSE,1449486800.01._SCLZZZZZZZ_SX500_.jpg,Rupi Kaur,Poetry,"Rupi Kaur constantly embraces growth, and in home body, she walks readers through a reflective and intimate journey visiting the past, the present, and the potential of the self. home body is a collection of raw, honest conversations with oneself - reminding readers to fill up on love, acceptance, community, family, and embrace change. illustrated by the author, themes of nature and nurture, light and dark, rest here."
17,the words i wish i said,100,TRUE,1980858926.01._SCLZZZZZZZ_SX500_.jpg,Caitlin Kelly,Poetry,"spoiler alert:these were not all the words i wish i said. in fact most of these words i wish i didn't write. just to the small fact of, i wish i didn't care? but sadly i do. but if i said the words i wish i did, then they wouldn't be my little secret, they would be words on paper in a book. they would be words taken out of context, because the world loves to take things out of context. the words i wish i said are between me and my party of a brain. because if you knew the words, then you would have such an advantage over me, and my quiet showers where i ramble on to myself about my words wouldn't be my secret anymore. you may be able to take most of me but you'll never be able to take all of me."
18,The Iliad,385,TRUE,0140275363.01._SCLZZZZZZZ_SX500_.jpg,Homer,Poetry,"Dating to the ninth century B.C., Homer's timeless poem still vividly conveys the horror and heroism of men and gods wrestling with towering emotions and battling amidst devastation and destruction, as it moves inexorably to the wrenching, tragic conclusion of the Trojan War. Renowned classicist Bernard Knox observes in his superb introduction that although the violence of the Iliad is grim and relentless, it coexists with both images of civilized life and a poignant yearning for peace."
19,Inward,150,TRUE,1449495753.01._SCLZZZZZZZ_SX500_.jpg,Yung Pueblo,Poetry,a
20,You'll Come Back to Yourself,95,FALSE,1775272710.01._SCLZZZZZZZ_SX500_.jpg,Michaela Angemeer,Poetry,"Dive into this collection of poetry and prose inspired by modern dating and broken relationships, perfect for fans of Rupi Kaur and Orion Carloto.  You'll Come Back to Yourself explores themes of lost love, infidelity, depression, body image, and ultimately the power women have in learning to choose themselves. Separated into three sections: Holding On, Ouroboros, and Letting Go, this collection is a cyclical expedition of self discovery."
21,Citizen: An American Lyric,75,TRUE,B00MLLZQ64.01._SCLZZZZZZZ_SX500_.jpg,Claudia Rankine,Poetry,"Claudia Rankine's bold new book recounts mounting racial aggressions in ongoing encounters in twenty-first-century daily life and in the media. Some of these encounters are slights, seeming slips of the tongue, and some are intentional offensives in the classroom, at the supermarket, at home, on the tennis court with Serena Williams and the soccer field with Zinedine Zidane, online, on TV-everywhere, all the time. The accumulative stresses come to bear on a person's ability to speak, perform, and stay alive. Our addressability is tied to the state of our belonging, Rankine argues, as are our assumptions and expectations of citizenship. In essay, image, and poetry, Citizen is a powerful testament to the individual and collective effects of racism in our contemporary, often named ""post-race"" society."
22,The Hill We Climb: An Inaugural Poem for the Country,115,FALSE,B08TRLMJM6.01._SCLZZZZZZZ_SX500_.jpg,Amanda Gorman,Poetry,"On January 20, 2021, Amanda Gorman became the sixth and youngest poet to deliver a poetry reading at a presidential inauguration. Taking the stage after the 46th president of the United States, Joe Biden, Gorman captivated the nation and brought hope to viewers around the globe with her call for unity and healing. Her poem The Hill We Climb: An Inaugural Poem for the Country can now be cherished in this special gift edition, perfect for any reader looking for some inspiration. Including an enduring foreword by Oprah Winfrey, this remarkable keepsake celebrates the promise of America and affirms the power of poetry."
23,Healing Words,185,TRUE,B084DHD5X6.01._SCLZZZZZZZ_SX500_.jpg,Alexandra Vasiliu,Poetry,"Overcome anxiety. Discover a new way of self-love. Heal your heart's wounds 'Healing Words' is an empowering poetry book about love, heartbreak, depression, anxiety, loneliness, healing, hope, self-love, inner strength, personal transformation, and happiness. Written for all of you who have wounds in your hearts, this uplifting poetry book is here to help you. To help you learn how to love yourself. To help you heal your heart's wounds. To help you let go of your past and fears. To help you defeat your depression and overcome your insecurities. To help you win over your pains. To help you turn your tears into hope. To help you let your unique light shine out. To help you appreciate your worth. To empower you to rise again and move on confidently. ?Healing Words' is a compelling journey that will have a positive impact on your life: you will heal your heart's wounds, grow in a wholesome way, and change into the best version of yourself. Come, take this journey; healing is the best gift that you can give to yourself."
24,The Sun and Her Flowers,150,FALSE,1449486797.01._SCLZZZZZZZ_SX500_.jpg,Rupi Kaur,Poetry,"From rupi kaur, the #1 New York Times bestselling author of milk and honey, comes her long-awaited second collection of poetry. A vibrant and transcendent journey about growth and healing. Ancestry and honoring one's roots. Expatriation and rising up to find a home within yourself.  Divided into five chapters and illustrated by kaur, the sun and her flowers is a journey of wilting, falling, rooting, rising, and blooming. A celebration of love in all its forms."
25,101 Essays That Will Change The Way You Think,300,FALSE,1945796065.01._SCLZZZZZZZ_SX500_.jpg,Brianna Wiest,Self-Help,"In her second compilation of published writing, Brianna Wiest explores pursuing purpose over passion, embracing negative thinking, seeing the wisdom in daily routine, and becoming aware of the cognitive biases that are creating the way you see your life. This book contains never before seen pieces as well as some of Brianna's most popular essays, all of which just might leave you thinking: this idea changed my life."
26,The 5 Love Languages: The Secret to Love that Lasts,230,TRUE,080241270X.01._SCLZZZZZZZ_SX500_.jpg,Gary Chapman,Self-Help,"The 5 Love Languages is as practical as it is insightful. Updated to reflect the complexities of relationships today, this new edition reveals intrinsic truths and applies relevant, actionable wisdom in ways that work."
27,Self-Love Workbook for Women,185,FALSE,1647397294.01._SCLZZZZZZZ_SX500_.jpg,Megan Logan MSW LCSW,Self-Help,"In a woman's journey toward realizing her full potential, embracing self-love is a powerful step. The Self-Love Workbook for Women empowers women to focus on their own emotional health and make positive changes by nurturing self-compassion. By building better relationships with themselves, women can develop the confidence they need to take on the world.  Witty prompts, quizzes, and creative activities designed by therapist Megan Logan make it fun to build self-care habits. Proven therapeutic tools and insightful writing exercises put women in touch with their thoughts and feelings and help them let go of doubt. Full of warm affirmations, this workbook encourages women to develop a positive mindset that will move them toward greater self-esteem and happiness.  Deepen self-love and grow stronger as a woman with the help of this interactive workbook."
28,What Happened to You?,200,TRUE,B087D5YQXB.01._SCLZZZZZZZ_SX500_.jpg,Oprah Winfrey,Self-Help,"This book is going to change the way you see your life. Have you ever wondered ""Why did I do that?"" or ""Why can't I just control my behavior?"" Others may judge our reactions and think, ""What's wrong with that person?"" When questioning our emotions, it's easy to place the blame on ourselves; holding ourselves and those around us to an impossible standard. It's time we started asking a different question. Through deeply personal conversations, Oprah Winfrey and renowned brain and trauma expert Dr. Bruce Perry offer a groundbreaking and profound shift from asking "
29,Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,285,TRUE,1623159911.01._SCLZZZZZZZ_SX500_.jpg,Karen Frazier,Self-Help,"Find comfort, balance, and emotional healing with crystals. Discover how crystals and healing stones can help you fight stress, cope with anxiety, and more as you explore the basics of crystal energy healing with this beginner's guide. With simple guidance, you'll learn to curate your own crystal collection, and detailed crystal profiles will help you choose the crystal that works best for your healing."
30,The Long Slide: Thirty Years in American Journalism,250,TRUE,1501183699.01._SCLZZZZZZZ_SX500_.jpg,Tucker Carlson,Social Science,"Thirty years ago, Tucker Carlson got his first job out of college fact checking for a quarterly magazine, and he went on to write for many other publications before becoming the primetime Fox News host he is today. In The Long Slide, Tucker delivers a few of his favorite pieces?annotated with new commentary and insight?to memorialize the tolerance and diversity of thought that the media used to celebrate instead of punish. In snapshots spanning the 1990s to today, he'll take you on a visit to Africa with Al Sharpton and members of the Nation of Islam to stop the civil war in Liberia in 2003, inside the (not-so-) secret armies of Operation Iraqi Freedom, and on the campaign trail with Donald Trump in 2016. In case you missed it the first time around, you'll also learn about the aesthetic merits of British colonialism, the second shift at a baked bean factory, the unexpected charm of James Carville, and the simple beauty of rural western Maine."
31,I Alone Can Fix It: Donald J. Trump's Catastrophic Final Year,400,FALSE,0593298942.01._SCLZZZZZZZ_SX500_.jpg,Carol Leonnig,Social Science,"The true story of what took place in Donald Trump's White House during a disastrous 2020 has never before been told in full. What was really going on around the president, as the government failed to contain the coronavirus and over half a million Americans perished? Who was influencing Trump after he refused to concede an election he had clearly lost and spread lies about election fraud? To answer these questions, Phil Rucker and Carol Leonnig reveal a dysfunctional and bumbling presidency's inner workings in unprecedented, stunning detail."
32,How I Saved the World,150,TRUE,0063049082.01._SCLZZZZZZZ_SX500_.jpg,Jesse Watters,Social Science,"In How I Saved the World, Jesse Watters takes readers on a tour of his life from basement-dwelling Fox minion to pampered champion of right-thinking Americans. He has divined great truths about the nature of our country while stumbling across beaches asking oblivious college students basic political questions and while stumbling out of Air Force One with the President."
33,The Reckoning: Our Nation's Trauma and Finding a Way to Heal,335,FALSE,B08PC68VF1.01._SCLZZZZZZZ_SX500_.jpg,Mary L. Trump,Social Science,"America is suffering from PTSD.The Reckoning diagnoses its core causes and helps us begin the healing process. For four years, Donald J. Trump inflicted an onslaught of overlapping and interconnected traumas upon the American people, targeting anyone he perceived as being an other or an enemy. Women were discounted and derided, the sick were dismissed as weak and unworthy of help, immigrants and minorities were demonized and discriminated against, and money was elevated above all else. In short, he transformed our country into a macro version of his malignantly dysfunctional family."
34,Of Mice and Men,50,FALSE,0140177396.01._SCLZZZZZZZ_SX500_.jpg,John Steinbeck,Social Science,"They are an unlikely pair: George is ""small and quick and dark of face""; Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a ""family,"" clinging together in the face of loneliness and alienation.  Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations of a flirtatious woman, nor predict the consequences of Lennie's unswerving obedience to the things George taught him."
35,Animal Farm,95,TRUE,0451526341.01._SCLZZZZZZZ_SX500_.jpg,George Orwell,Social Science,"All animals are equal, but some animals are more equal than others. A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell's masterpiece have a meaning and message still ferociously fresh."
36,Four Thousand Weeks: Time Management for Mortals,350,FALSE,0374159122.01._SCLZZZZZZZ_SX500_.jpg,Oliver Burkeman,Social Science,"Drawing on the insights of both ancient and contemporary philosophers, psychologists, and spiritual teachers, Oliver Burkeman delivers an entertaining, humorous, practical, and ultimately profound guide to time and time management. Rejecting the futile modern fixation on getting everything done, Four Thousand Weeks introduces readers to tools for constructing a meaningful life by embracing finitude, showing how many of the unhelpful ways we've come to think about time aren't inescapable, unchanging truths, but choices we've made as individuals and as a society and that we could do things differently."
37,12 Rules for Life: An Antidote to Chaos,200,FALSE,0345816021.01._SCLZZZZZZZ_SX500_.jpg,Jordan B. Peterson,Social Science,"Humorous, surprising and informative, Dr. Peterson tells us why skateboarding boys and girls must be left alone, what terrible fate awaits those who criticize too easily, and why you should always pet a cat when you meet one on the street.  What does the nervous system of the lowly lobster have to tell us about standing up straight (with our shoulders back) and about success in life? Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods? What dreadful paths do people tread when they become resentful, arrogant and vengeful?"
38,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",100,FALSE,1571313354.01._SCLZZZZZZZ_SX500_.jpg,Robin Wall Kimmerer,Social Science,"Drawing on her life as an indigenous scientist, and as a woman, Kimmerer shows how other living beings?asters and goldenrod, strawberries and squash, salamanders, algae, and sweetgrass?offer us gifts and lessons, even if we've forgotten how to hear their voices. In reflections that range from the creation of Turtle Island to the forces that threaten its flourishing today, she circles toward a central argument: that the awakening of ecological consciousness requires the acknowledgment and celebration of our reciprocal relationship with the rest of the living world. For only when we can hear the languages of other beings will we be capable of understanding the generosity of the earth, and learn to give our own gifts in return."
39,Attached: The New Science of Adult Attachment and How It Can Help YouFind - and Keep - Love,150,FALSE,1585429139.01._SCLZZZZZZZ_SX500_.jpg,Amir Levine,Social Science,"Attached guides readers in determining what attachment style they and their mate (or potential mate) follow, offering a road map for building stronger, more fulfilling connections with the people they love."
40,Harry Potter and the Philosopher's Stone,300,TRUE,B0192CTMYG.01._SCLZZZZZZZ_SX500_.jpg,J.K. Rowling,Fiction,"Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.  Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!"
41,Harry Potter and the Chamber of Secrets,300,TRUE,B0192CTMW8.01._SCLZZZZZZZ_SX500_.jpg,J.K. Rowling,Fiction,"There is a plot, Harry Potter. A plot to make most terrible things happen at Hogwarts School of Witchcraft and Wizardry this year.'  Harry Potter's summer has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the Dursleys by his friend Ron Weasley in a magical flying car! Back at Hogwarts School of Witchcraft and Wizardry for his second year, Harry hears strange whispers echo through empty corridors - and then the attacks start. Students are found as though turned to stone... Dobby's sinister predictions seem to be coming true."
42,Harry Potter and the Prisoner of Azkaban,300,FALSE,B0192CTMX2.01._SCLZZZZZZZ_SX500_.jpg,J.K. Rowling,Fiction,"'Welcome to the Knight Bus, emergency transport for the stranded witch or wizard. Just stick out your wand hand, step on board and we can take you anywhere you want to go.'  When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss..."
43,Harry Potter and the Goblet of Fire,300,TRUE,B0192CTMUU.01._SCLZZZZZZZ_SX500_.jpg,J.K. Rowling,Fiction,"'There will be three tasks, spaced throughout the school year, and they will test the champions in many different ways ... their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'  The Triwizard Tournament is to be held at Hogwarts. Only wizards who are over seventeen are allowed to enter - but that doesn't stop Harry dreaming that he will win the competition. Then at Hallowe'en, when the Goblet of Fire makes its selection, Harry is amazed to find his name is one of those that the magical cup picks out. He will face death-defying tasks, dragons and Dark wizards, but with the help of his best friends, Ron and Hermione, he might just make it through - alive!"
44,Harry Potter and the Order of the Phoenix,300,FALSE,B0192CTMXM.01._SCLZZZZZZZ_SX500_.jpg,J.K. Rowling,Fiction,"'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.'  Dark times have come to Hogwarts. After the Dementors' attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him. There are many who deny the Dark Lord's return, but Harry is not alone: a secret order gathers at Grimmauld Place to fight against the Dark forces. Harry must allow Professor Snape to teach him how to protect himself from Voldemort's savage assaults on his mind. But they are growing stronger by the day and Harry is running out of time..."
45,Harry Potter and the Half-Blood Prince,300,FALSE,B0192CTMWI.01._SCLZZZZZZZ_SX500_.jpg,J.K. Rowling,Fiction,"There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building... wherever they had murdered...  When Dumbledore arrives at Privet Drive one summer night to collect Harry Potter, his wand hand is blackened and shrivelled, but he does not reveal why. Secrets and suspicion are spreading through the wizarding world, and Hogwarts itself is not safe. Harry is convinced that Malfoy bears the Dark Mark: there is a Death Eater amongst them. Harry will need powerful magic and true friends as he explores Voldemort's darkest secrets, and Dumbledore prepares him to face his destiny..."
46,Harry Potter and the Deathly Hallows,300,FALSE,B0192CTMWS.01._SCLZZZZZZZ_SX500_.jpg,J.K. Rowling,Fiction,"'Give me Harry Potter,' said Voldemort's voice, 'and none shall be harmed. Give me Harry Potter, and I shall leave the school untouched. Give me Harry Potter, and you will be rewarded.'  As he climbs into the sidecar of Hagrid's motorbike and takes to the skies, leaving Privet Drive for the last time, Harry Potter knows that Lord Voldemort and the Death Eaters are not far behind. The protective charm that has kept Harry safe until now is broken, but he cannot keep hiding. The Dark Lord is breathing fear into everything Harry loves and to stop him Harry will have to find and destroy the remaining Horcruxes. The final battle must begin - Harry must stand and face his enemy..."
47,Harry Potter and the Cursed Child,300,FALSE,1338099132.01._SCLZZZZZZZ_SX500_.jpg,J.K. Rowling,Fiction,"It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband, and father of three school-age children.  While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places."
48,You Get So Alone at Times That It Just Makes Sense,250,TRUE,0876856830.01._SCLZZZZZZZ_SX500_.jpg,Charles Bukowski,Poetry,"Charles Bukowski examines cats and his childhood in You Get So Alone at Times, a book of poetry that reveals his tender side. He delves into his youth to analyze its repercussions."
49,Love is a Dog From Hell,250,FALSE,B000VYX9DA.01._SCLZZZZZZZ_SX500_.jpg,Charles Bukowski,Poetry,"A classic in the Bukowski poetry canon, Love Is a Dog from Hell is a raw, lyrical, exploration of the exigencies, heartbreaks, and limits of love."
50,Essential Bukowski: Poetry,450,FALSE,0062565281.01._SCLZZZZZZZ_SX500_.jpg,Charles Bukowski,Poetry,"Edited by Abel Debritto, the definitive collection of poems from an influential writer whose transgressive legacy and raw, funny, and acutely observant writing has left an enduring mark on modern culture.  Few writers have so brilliantly and poignantly conjured the desperation and absurdity of ordinary life as Charles Bukowski. Resonant with his powerful, perceptive voice, his visceral, hilarious, and transcendent poetry speaks to us as forcefully today as when it was written. Encompassing a wide range of subjects?from love to death and sex to writing?Bukowski's unvarnished and self-deprecating verse illuminates the deepest and most enduring concerns of the human condition while remaining sharply aware of the day to day.  With his acute eye for the ridiculous and the troubled, Bukowski speaks to the deepest longings and strangest predilections of the human experience. Gloomy yet hopeful, this is tough, unrelenting poetry touched by grace.  This is Essential Bukowski."
51,Ham on Rye,250,TRUE,B000SEHJGQ.01._SCLZZZZZZZ_SX500_.jpg,Charles Bukowski,Poetry,"Wordsworth, Whitman, William Carlos Williams, and the Beats in their respective generations moved poetry toward a more natural language. Bukowski moved it a little farther. ?Los Angeles Times Book Review In what is widely hailed as the best of his many novels, Charles Bukowski details the long, lonely years of his own hardscrabble youth in the raw voice of alter ego Henry Chinaski. From a harrowingly cheerless childhood in Germany through acne-riddled high school years and his adolescent discoveries of alcohol, woman, and the Los Angeles Public Library's collection of D.H. Lawrence, Ham on Rye offers a crude, brutal, and savagely funny portrait of an outcast's coming-of-age during the desperate days of the Great Depression."
52,On Drinking,250,TRUE,0062857940.01._SCLZZZZZZZ_SX500_.jpg,Charles Bukowski,Poetry,"The definitive collection of works on a subject that inspired and haunted Charles Bukowski for his entire life: alcohol  Charles Bukowski turns to the bottle in this revelatory collection of poetry and prose that includes some of the writer's best and most lasting work. A self-proclaimed dirty old man, Bukowski used alcohol as muse and as fuel, a conflicted relationship responsible for some of his darkest moments as well as some of his most joyful and inspired. In On Drinking, Bukowski expert Abel Debritto has collected the writer's most profound, funny, and memorable work on his ups and downs with the hard stuff a topic that allowed Bukowski to explore some of life's most pressing questions. Through drink, Bukowski is able to be alone, to be with people, to be a poet, a lover, and a friend though often at great cost. As Bukowski writes in a poem simply titled Drinking: for me/it was or/is/a manner of/dying/with boots on/and gun/smoking and a/symphony music background. On Drinking is a powerful testament to the pleasures and miseries of a life in drink, and a window into the soul of one of our most beloved and enduring writers."
